group,date,time,team_home,team_away,venue,flag_home,flag_away
E,19 January 2026,18:00,Netherlands,Croatia,Malmö Arena, Malmö,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,https://upload.wikimedia.org/wikipedia/commons/3/37/Flag_of_Croatia.svg
E,19 January 2026,20:30,Georgia,Sweden,Malmö Arena, Malmö,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg
E,21 January 2026,18:00,Netherlands,Georgia,Malmö Arena, Malmö,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Georgia.svg
E,21 January 2026,20:30,Sweden,Croatia,Malmö Arena, Malmö,https://upload.wikimedia.org/wikipedia/commons/4/4c/Flag_of_Sweden.svg,https://upload.wikimedia.org/wikipedia/commons/3/37/Flag_of_Croatia.svg
F,16 January 2026,18:00,Iceland,Italy,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Iceland.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Italy.svg
F,16 January 2026,20:30,Hungary,Poland,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg
F,18 January 2026,18:00,Poland,Iceland,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Iceland.svg
F,18 January 2026,20:30,Italy,Hungary,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Italy.svg,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg
F,20 January 2026,18:00,Poland,Italy,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/1/12/Flag_of_Poland.svg,https://upload.wikimedia.org/wikipedia/commons/9/9b/Flag_of_Italy.svg
F,20 January 2026,20:30,Hungary,Iceland,Kristianstad Arena, Kristianstad,https://upload.wikimedia.org/wikipedia/commons/c/c1/Flag_of_Hungary.svg,https://upload.wikimedia.org/wikipedia/commons/0/0f/Flag_of_Iceland.svg

